qty;card_name;set_code;set_label;is_metacard;min_condition;languages;foil;is_signed;is_altered;max_price_eur;product_url
4;Décomposition abrupte;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Abrupt-Decay?sellerCountry=12
4;Délivrance du druide;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Druids-Deliverance?sellerCountry=12
3;Empereur Mihail;Commander-Dominaria-United-Extras;Commander: Dominaria Uni: Extras;false;EX;en|fr;any;any;any;;https://www.cardmarket.com/fr/Magic/Products/Singles/Commander-Dominaria-United-Extras/Emperor-Mihail-II?sellerCountry=12
4;Exhibition de servos;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Servo-Exhibition?sellerCountry=12
4;Faire fortune;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Strike-It-Rich?sellerCountry=12
2;Ferre-marée de Tishana;The-Lost-Caverns-of-Ixalan-Extras;Les cavernes oubliées d'Ixalan: Extras;false;EX;en|fr;any;any;any;5,00;https://www.cardmarket.com/fr/Magic/Products/Singles/The-Lost-Caverns-of-Ixalan-Extras/Tishanas-Tidebinder?sellerCountry=12
1;Grizzlis;;toutes éditions;true;LP;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Grizzly-Bears?sellerCountry=12
4;Haldir, lieutenant de la Lórien;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Haldir-Lorien-Lieutenant?sellerCountry=12
4;Jeter dans le feu;;toutes éditions;true;EX;en|fr;no;false;any;0,50;https://www.cardmarket.com/fr/Magic/Cards/Cast-into-the-Fire?sellerCountry=12
2;Jiang Yanggu, façonneur de la forêt;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Jiang-Yanggu-Wildcrafter?sellerCountry=12
2;Kiora, mandeuse de béhémoth;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Kiora-Behemoth-Beckoner?sellerCountry=12
3;Lande fétide;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Fetid-Heath?sellerCountry=12
4;Lumière de Lèveciel;;toutes éditions;true;EX;en|fr;no;false;any;3,00;https://www.cardmarket.com/fr/Magic/Cards/Morningtides-Light?sellerCountry=12
4;Mentor des humbles;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Mentor-of-the-Meek?sellerCountry=12
1;Messe noire;;toutes éditions;true;PL;;no;false;any;1,00;https://www.cardmarket.com/fr/Magic/Cards/Dark-Ritual?sellerCountry=12
4;Pampa jumbo;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Jumbo-Cactuar?sellerCountry=12
2;Paroles de sauvagerie;;toutes éditions;true;LP;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Words-of-Wilding?sellerCountry=12
4;Patricienne des Kalastria;;toutes éditions;true;EX;en|fr;no;false;any;1,00;https://www.cardmarket.com/fr/Magic/Cards/Kalastria-Highborn?sellerCountry=12
3;Poussée fatale;;toutes éditions;true;EX;en|fr;no;false;any;1,00;https://www.cardmarket.com/fr/Magic/Cards/Fatal-Push?sellerCountry=12
2;Prêtresse de putréfaction vénérée;;toutes éditions;true;EX;en|fr;no;false;any;2,60;https://www.cardmarket.com/fr/Magic/Cards/Venerated-Rotpriest?sellerCountry=12
4;Pèlerinage de Plongeracine;;toutes éditions;true;EX;en|fr;any;any;any;;https://www.cardmarket.com/fr/Magic/Cards/Deeproot-Pilgrimage?sellerCountry=12
2;Ralliement des ancêtres;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Rally-the-Ancestors?sellerCountry=12
4;Reflet mystique;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Mystic-Reflection?sellerCountry=12
2;Regard sylvestre;;toutes éditions;true;GD;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Sylvan-Scrying?sellerCountry=12
3;Relai zingant;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Galvanic-Relay?sellerCountry=12
3;Renégat de Narnam;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Narnam-Renegade?sellerCountry=12
2;Retour au pays;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Swords-to-Plowshares?sellerCountry=12
4;Rythme de la nature;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Natures-Rhythm?sellerCountry=12
4;Sage de l'évolution;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Evolution-Sage?sellerCountry=12
4;Sinister Gnarlbark;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Sinister-Gnarlbark?sellerCountry=12
2;Slinza, la ruée piquante;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Slinza-the-Spiked-Stampede?sellerCountry=12
1;Soulèvement de Garruk;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Garruks-Uprising?sellerCountry=12
4;Souveraine ondine;Commander-The-Lost-Caverns-of-Ixalan;Commander: Les cavernes oubliées d'Ixalan;false;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Products/Singles/Commander-The-Lost-Caverns-of-Ixalan/Merfolk-Sovereign?sellerCountry=12
1;Tribunal du Conclave;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Conclave-Tribunal?sellerCountry=12
1;Tueur de géant // Petit bois;Throne-of-Eldraine-Extras;Throne of Eldraine: Extras;false;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Products/Singles/Throne-of-Eldraine-Extras/Giant-Killer-Chop-Down?sellerCountry=12
4;Témoin au rabais;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Hunted-Witness?sellerCountry=12
4;Vengeance grandissante;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Increasing-Vengeance?sellerCountry=12
3;Voyageur damné;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Doomed-Traveler?sellerCountry=12
2;Vétéran de la volée;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Volley-Veteran?sellerCountry=12
4;Étincelles chorégraphiées;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Choreographed-Sparks?sellerCountry=12
4;Éveilleur sangfoudre;;toutes éditions;true;EX;en|fr;no;false;any;;https://www.cardmarket.com/fr/Magic/Cards/Thunderkin-Awakener?sellerCountry=12
